Statistic Label,Years,Area,VALUE
New House Prices,1975,Dublin,13137
New House Prices,1975,Cork,12921
New House Prices,1975,Galway,14420
New House Prices,1975,Limerick,13594
New House Prices,1975,Waterford,12636
New House Prices,1975,Other areas,13833
New House Prices,1976,Dublin,15342
New House Prices,1976,Cork,15347
New House Prices,1976,Galway,17842
New House Prices,1976,Limerick,15279
New House Prices,1976,Waterford,13900
New House Prices,1976,Other areas,15361
New House Prices,1977,Dublin,19055
New House Prices,1977,Cork,18652
New House Prices,1977,Galway,21715
New House Prices,1977,Limerick,19992
New House Prices,1977,Waterford,17296
New House Prices,1977,Other areas,18025
New House Prices,1978,Dublin,25745
New House Prices,1978,Cork,22460
New House Prices,1978,Galway,26244
New House Prices,1978,Limerick,23077
New House Prices,1978,Waterford,21295
New House Prices,1978,Other areas,22839
New House Prices,1979,Dublin,32005
New House Prices,1979,Cork,29064
New House Prices,1979,Galway,30466
New House Prices,1979,Limerick,30538
New House Prices,1979,Waterford,27164
New House Prices,1979,Other areas,27137
New House Prices,1980,Dublin,37822
New House Prices,1980,Cork,34617
New House Prices,1980,Galway,33839
New House Prices,1980,Limerick,34340
New House Prices,1980,Waterford,32136
New House Prices,1980,Other areas,32663
New House Prices,1981,Dublin,44456
New House Prices,1981,Cork,35464
New House Prices,1981,Galway,39729
New House Prices,1981,Limerick,41520
New House Prices,1981,Waterford,34638
New House Prices,1981,Other areas,37857
New House Prices,1982,Dublin,48886
New House Prices,1982,Cork,38213
New House Prices,1982,Galway,45460
New House Prices,1982,Limerick,40195
New House Prices,1982,Waterford,41741
New House Prices,1982,Other areas,42889
New House Prices,1983,Dublin,48169
New House Prices,1983,Cork,39223
New House Prices,1983,Galway,45650
New House Prices,1983,Limerick,41430
New House Prices,1983,Waterford,42132
New House Prices,1983,Other areas,43501
New House Prices,1984,Dublin,48819
New House Prices,1984,Cork,41105
New House Prices,1984,Galway,45774
New House Prices,1984,Limerick,42944
New House Prices,1984,Waterford,44115
New House Prices,1984,Other areas,43654
New House Prices,1985,Dublin,49166
