,HCB spending over 25% of disposable household income,HCB spending over 40% of disposable household income,HCB spending over 50% of disposable household income
Tenant market,60.1,21.5,13.7
Tenant reduced,21.0,5.3,2.9
Mortgage,5.9,1.4,0.9
No mortgage,3.3,1.2,0.9
Tenant market,45.0,14.3,6.7
Tenant reduced,29.2,5.2,3.0
Mortgage,5.2,1.4,0.7
No mortgage,2.7,1.2,1.0
Tenant market,58.7,17.8,10.8
Tenant reduced,27.4,9.4,6.6
Mortgage,4.5,1.4,0.6
No mortgage,1.8,0.4,0.2
Tenant market,36.8,13.1,6.9
Tenant reduced,19.4,6.4,3.8
Mortgage,2.8,0.9,0.6
No mortgage,19.4,6.4,3.8
Tenant market,47.8,10.6,4
Tenant reduced,22.6,4.6,1.8
Mortgage,2.2,0.6,0.3
No mortgage,1.8,0.7,0.5
Tenant market,43.6,13.2,7.2
Tenant reduced,27.4,7.9,1.8
Mortgage,2.9,0.9,0.6
No mortgage,3.2,1.9,1.5
